Date,Total Collections,Revenue Type
21-01-2019,500,Screen 1
21-01-2019,625,Screen 2
21-01-2019,1198,Screen 3
21-01-2019,1265,Food & Beverages
21-01-2019,926,Adversitement
21-01-2019,878,Others
02-03-2019,595,Screen 1
02-03-2019,150,Screen 2
02-03-2019,148,Screen 3
02-03-2019,550,Food & Beverages
02-03-2019,550,Adversitement
02-03-2019,650,Others
03-05-2019,858,Screen 1
03-05-2019,931,Screen 2
03-05-2019,775,Screen 3
03-05-2019,568,Food & Beverages
03-05-2019,234,Adversitement
03-05-2019,765,Others
14-07-2019,234,Screen 1
14-07-2019,543,Screen 2
14-07-2019,876,Screen 3
14-07-2019,245,Food & Beverages
14-07-2019,400,Adversitement
14-07-2019,543,Others
25-09-2019,746,Screen 1
25-09-2019,256,Screen 2
25-09-2019,156,Screen 3
25-09-2019,785,Food & Beverages
25-09-2019,156,Adversitement
25-09-2019,234,Others
18-12-2019,387,Screen 1
18-12-2019,345,Screen 2
18-12-2019,376,Screen 3
18-12-2019,265,Food & Beverages
18-12-2019,175,Adversitement
18-12-2019,975,Others
07-01-2020,135,Screen 1
07-01-2020,235,Screen 2
07-01-2020,246,Screen 3
07-01-2020,298,Food & Beverages
07-01-2020,357,Adversitement
07-01-2020,356,Others
18-02-2020,224,Screen 1
18-02-2020,765,Screen 2
18-02-2020,477,Screen 3
18-02-2020,357,Food & Beverages
18-02-2020,327,Adversitement
18-02-2020,357,Others
20-03-2020,578,Screen 1
20-03-2020,357,Screen 2
20-03-2020,456,Screen 3
20-03-2020,876,Food & Beverages
20-03-2020,498,Adversitement
20-03-2020,167,Others
